id,date,username,tweets
1660783861780066304,2023-05-22 23:05:03+00:00,CNN Indonesia,"Restrukturisasi Kredit Covid BRI Terus Menurun, Bukti UMKM Tangguh
https://t.co/2sw8OrXgVp"
1660680555284037638,2023-05-22 16:14:32+00:00,tempo.co,"Satu Lagi Kemungkinan Long Covid adalah Face Blindness, Tak Bisa Mengingat Wajah #TempoTekno https://t.co/rg06uRvv0s"
1660592525336522754,2023-05-22 10:24:45+00:00,CNN Indonesia,"PM Singapura Positif Covid-19 usai Kunjungan ke Afrika Selatan
https://t.co/6ycrFmOvpJ"
1660568681695379457,2023-05-22 08:50:00+00:00,Okezone,"Proses pemakaman jenazah Eeng Saptahadi menerapkan protokol kesehatan setelah didiagnosa Covid-19

https://t.co/ayb62pVEw6"
1660554228342075393,2023-05-22 07:52:34+00:00,CNN Indonesia,"Cut Keke Cerita Eeng Saptahadi Sempat Kena Covid-19 Sebelum Meninggal
https://t.co/1Aaho8Rx0g"
1660495722473730049,2023-05-22 04:00:05+00:00,tempo.co,"Eeng Saptahadi Meninggal dalam Usia 65 Tahun, Sempat Dilarikan ke RS karena Covid-19 #TempoSeleb https://t.co/6KMOnG4xmC"
1660490361905750017,2023-05-22 03:38:47+00:00,JPNN.com,"#BeritaJatim 
Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 22 Mei 2023
#infovaksinsurabaya 
#vaksinbooster 
https://t.co/sPpI0zwwS1"
1660462679184789504,2023-05-22 01:48:47+00:00,LIPUTAN6,"Kabar duka ini diketahui melalui unggahan dari pemerhati film, Yan Widjaya. Simak selengkapnya...
https://t.co/SKASq6xQYz"
1660444123340627968,2023-05-22 00:35:03+00:00,JPNN.com,Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 22 Mei 2023 #jadwalvaksin https://t.co/sPpI0zwwS1
