id,date,username,tweets
1660862683074244610,2023-05-23 04:18:15+00:00,JPNN.com,"#BeritaJatim 
Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 23 Mei 2023
#infovaksinsurabaya
#vaksinbooster 
https://t.co/5ApqGrVTED"
1660846779162849280,2023-05-23 03:15:03+00:00,JPNN.com,Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 23 Mei 2023 #jadwalvaksin https://t.co/5ApqGrWrub
1660825132787703808,2023-05-23 01:49:02+00:00,tempo.co,PM Singapura Positif Covid-19 Usai Pulang dari Afrika Selatan #TempoDunia https://t.co/JyF9ckNwfy
