id,date,username,tweets
1660066889580826624,2023-05-20 23:36:03+00:00,KOMPAS TV,WHO Luncurkan Jaringan Global untuk Deteksi Dini Ancaman Pandemi seperti Covid-19 https://t.co/NINvYZxSCC
1659903701547614210,2023-05-20 12:47:36+00:00,Kompas.com,"Berikut ini, jumlah kasus Covid-19 hingga hari ini untuk provinsi Aceh, Sumut, Sumbar, Riau, Kepri, Jambi, dan Bengkulu: https://t.co/ZhQO1NKlpW"
1659726897696350208,2023-05-20 01:05:03+00:00,Kompas.com,WHO merekomendasikan vaksin Covid-19 ke depan hanya menargetkan varian XBB yang kini turunannya mendominansi infeksi SARS-CoV-2 secara global. https://t.co/1JLyddWjCe
