id,date,username,tweets
1659912247567855616,2023-05-20 13:21:34+00:00,antaranews.com,Wendy Red Velvet tampil energik hibur penggemar usai pulih COVID-19 https://t.co/YWtLToh5VS
1659797609379422209,2023-05-20 05:46:02+00:00,antaranews.com,Pasien COVID-19 tetap harus isolasi diri walau status darurat dicabut https://t.co/rx9irHOy9B
1659769682075742208,2023-05-20 03:55:03+00:00,Media Indonesia,"Wendy dipastikan hadir dalam konser Red Velvet hari ini, setelah divonis covid-19.  https://t.co/Jsar0JWIoO"
1659720211853893634,2023-05-20 00:38:29+00:00,detikHealth,WHO menyarankan pembaruan vaksin COVID-19 agar bisa secara khusus menargetkan Omicron XBB.1.16. Pertanda vaksin COVID kini tak mempan lawan varian Arcturus? https://t.co/o7f3ZfkwW3
1659712079014526978,2023-05-20 00:06:10+00:00,Harian Kompas,"Kota-kota di seluruh dunia yang bergantung pada pariwisata kembali menggenjot industri ini pascapandemi Covid-19 mulai reda. #Internasional #AdadiKompas

https://t.co/k9dvtlZZCa"
