id,date,username,tweets
1659548014497746944,2023-05-19 13:14:14+00:00,Harian Kompas,"Industri pariwisata berupaya bangkit dari pandemi Covid-19. Namun,  pemulihan masih menghadapi sejumlah tantangan, seperti situasi geopolitik dan gejolak ekonomi. #Ekonomi #AdadiKompas

https://t.co/PeRQtEl3SC"
1659546522340536324,2023-05-19 13:08:18+00:00,detikHealth,Ghana tengah berjuang mencapai target vaksinasi COVID-19. Tercatat baru 42 persen masyarakat dari total populasi target divaksin yang mendapat dosis pertama. https://t.co/CAo9h7jWtm
1659543531348971521,2023-05-19 12:56:25+00:00,antaranews.com,"Selama masa pandemi COVID-19 kontraksi perekonomian Indonesia turun sebesar 2,1 persen. Meski begitu, Menkeu Sri Mulyani mengatakan jika pertumbuhan ekonomi Indonesia untuk bangkit dari pandemi lebih cepat dibanding negara lain.

Berita selengkapnya: https://t.co/P0oZ1dRS4Y https://t.co/VqukpNFeHb"
1659541399585300481,2023-05-19 12:47:57+00:00,detikHealth,WHO merekomendasikan bahwa vaksin penguat atau booster COVID-19 bisa diperbarui. Varian Omicron XBB menjadi target utamanya. https://t.co/qZ3EWJZ6LS
1659533525698195457,2023-05-19 12:16:39+00:00,detikHealth,"Sempat mengalami peningkatan kasus, puncak kematian gelombang Covid-19 varian Arcturus di DKI Jakarta disebut sudah terlewati minggu lalu. Begini datanya. https://t.co/ltGxvHeoEs"
1659525166571847682,2023-05-19 11:43:26+00:00,detikHealth,"Di tengah peralihan musim hujan ke kemarau, kemunculan berbagai jenis penyakit seperti demam berdarah dengue (DBD) perlu diwaspadai.  https://t.co/4neUJVVj1G"
1659420885088960512,2023-05-19 04:49:04+00:00,detikHealth,Banyak warga Jepang lupa caranya tersenyum lantaran diharuskan menggunakan masker selama pandemi COVID-19. Mereka bahkan rela mengikuti kursus 'tersenyum'.  https://t.co/UuWUnw4Akp
1659394004197298176,2023-05-19 03:02:15+00:00,Harian Kompas,"Setelah WHO mengakhiri status darurat Covid-19, Indonesia memasuki fase penyebaran Covid-19 yang rendah dengan jumlah kasus positif harian yang fluktuatif, mengikuti siklus mobilitas dan kemunculan varian baru. #KajianData #AdadiKompas 

https://t.co/sKv8inPGrW"
