id,date,username,tweets
1659304877414141954,2023-05-18 21:08:05+00:00,Harian Kompas,"Peran sentral ADB menjadi makin kentara di era pemulihan ekonomi kawasan ini dari pandemi Covid-19. Namun masih banyak tantangan bagi ADB membantu  negara-negara anggota mencapai pertumbuhan inklusif dan berkelanjutan. #Opini #AdadiKompas

https://t.co/9dmZriidpu"
1659123420825636867,2023-05-18 09:07:03+00:00,detikHealth,"Kasus COVID-19 di Indonesia pada Kamis (18/5/2023), bertambah 665 kasus baru. Kasus kesembuhan bertambah 911 dan kematian 7 jiwa. https://t.co/kR3GaK1cAu"
1659091994113630208,2023-05-18 07:02:10+00:00,Harian Kompas,"Dampak Covid-19 berkepanjangan berpotensi merusak daerah otak yang memicu penurunan kemampuan pengenalan wajah atau prosopagnosia. #Kesehatan #AdadiKompas

https://t.co/jVWjTngJAH"
