id,date,username,tweets
1658979702168600576,2023-05-17 23:35:58+00:00,detikHealth,"Meski WHO telah mencabut status kedaruratan COVID-19, Kemenkes RI menekankan pencabutan status di Indonesia masih menunggu hasil koordinasi dari 3 menteri. https://t.co/hQMCehSqg6"
1658817511133945856,2023-05-17 12:51:28+00:00,detikHealth,"Meski WHO mencabut status kedaruratan COVID-19 secara global, status kedaruratan di RI belum dicabut. Bagaimana nasib vaksin COVID buatan dalam negeri IndoVac? https://t.co/p3Ae02j9cw"
1658654839042351105,2023-05-17 02:05:04+00:00,Media Indonesia,Hal ini karena pandemi covid-19 dapat membuat gap atau jarak dalam daya kompetensi generasi Z dengan kebutuhan perusahaan saat ini.  https://t.co/VRrT8qpspK
