id,date,username,tweets
1659930996521967616,2023-05-20 14:36:04+00:00,tempo.co,Lama Isolasi yang Dianjurkan buat Pasien Covid-19 di Masa Akhir Pandemi #TempoGaya https://t.co/JkPGOO3cSb
1659756453987753985,2023-05-20 03:02:30+00:00,JPNN.com,"#BeritaJatim 
Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 20 Mei 2023
#infovaksinsurabaya
#vaksinbooster 
https://t.co/C4kIaUrlKJ"
1659738223801946112,2023-05-20 01:50:03+00:00,JPNN.com,Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 20 Mei 2023 #jadwalvaksin https://t.co/C4kIaUrlKJ
